Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
DTW,DTE Energy Company,23.7,0,n/a,United States,2017,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/dtw
DTY,DTE Energy Company,25.65,0,n/a,United States,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/dty
DUK,Duke Energy Corporation,78.81,56140675798,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/duk
DUKB,Duke Energy Corporation,24.84,0,n/a,United States,2018,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/dukb
DUKH,Duke Energy Corporation,23.85,0,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/dukh
ESTE,"Earthstone Energy, Inc.",9.62,615472131,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/este
ECT,ECA Marcellus Trust I,1.8,31689000,n/a,United States,2010,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ect
ECHO,"Echo Global Logistics, Inc.",32.95,940659466.7,n/a,United States,2009,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/echo
ECR,Eclipse Resources Corporation,1.29,390007051.9,n/a,United States,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ecr
ESES,"Eco-Stim Energy Solutions, Inc.",0.35,26205716.95,n/a,United States,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/eses
EIX,Edison International,66.97,21819576466,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/eix
EP^C,El Paso Corporation,45.948,0,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/ep^c
EE,El Paso Electric Company,57.8,2351958296,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ee
EEQ,Enbridge Energy Management LLC,11.2,1104444230,n/a,United States,2002,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eeq
EEP,"Enbridge Energy, L.P.",11.18,5042958989,n/a,United States,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/eep
ENB,Enbridge Inc,33.13,56834660772,n/a,Canada,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/enb
ENBA,Enbridge Inc,25.4,0,n/a,Canada,2018,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/enba
ECA,Encana Corporation,13.27,12666590514,n/a,Canada,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eca
EGN,Energen Corporation,85.68,8358913811,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/egn
ETE,"Energy Transfer Equity, L.P.",17.48,20245451788,n/a,United States,2006,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/ete
ETP,"Energy Transfer Partners, L.P.",22.3,26010802176,n/a,United States,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/etp
EGC,"Energy XXI Gulf Coast, Inc.",7.82,261161122.7,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/egc
ERF,Enerplus Corporation,12.3,3017117984,n/a,Canada,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/erf
ENLK,"EnLink Midstream Partners, LP",18.25,6393815175,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/enlk
ENSV,ENSERVCO Corporation,0.72,39214676.88,n/a,United States,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ensv
ESNC,"EnSync, Inc.",0.2997,16986926.77,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/esnc
EAB,"Entergy Arkansas, Inc.",23.975,0,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/eab
EAE,"Entergy Arkansas, Inc.",22.961,0,n/a,United States,2013,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/eae
EAI,"Entergy Arkansas, Inc.",23.75,0,n/a,United States,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/eai
ETR,Entergy Corporation,80.18,14500956466,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/etr
ELC,"Entergy Louisiana, Inc.",23.35,0,n/a,United States,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/elc
ELJ,"Entergy Louisiana, Inc.",24.52,0,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/elj
ELU,"Entergy Louisiana, Inc.",22.9199,0,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/elu
EMP,"Entergy Mississippi, Inc.",23.9769,0,n/a,United States,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/emp
ENJ,"Entergy New Orleans, LLC",24.2,0,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/enj
ENO,"Entergy New Orleans, LLC",25.95,0,n/a,United States,2016,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/eno
EZT,Entergy Texas Inc,25.51,0,n/a,United States,2014,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ezt
EPD,Enterprise Products Partners L.P.,29.02,63146101735,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/epd
EOG,"EOG Resources, Inc.",125.64,72770786502,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eog
EPE,EP Energy Corporation,2.34,601999901.1,n/a,United States,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/epe
EQT,EQT Corporation,46.93,12389520000,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eqt
EQGP,"EQT GP Holdings, LP",20.87,6312314446,n/a,United States,2015,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/eqgp
EQM,"EQT Midstream Partners, LP",52.6,6336045985,n/a,United States,2012,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/eqm
ES,Eversource Energy,60.68,19228630829,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/es
EPM,"Evolution Petroleum Corporation, Inc.",11.25,373179532.5,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/epm
EXC,Exelon Corporation,42.59,41137966396,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/exc
EXPD,"Expeditors International of Washington, Inc.",72.2,12587023172,n/a,United States,n/a,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/expd
XOG,"Extraction Oil & Gas, Inc.",11.16,1958346522,n/a,United States,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/xog
XOM,Exxon Mobil Corporation,86.5,3.66225E+11,n/a,United States,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/xom
FLMN,Falcon Minerals Corporation,11.25,965868750,n/a,United States,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/flmn
FLMNW,Falcon Minerals Corporation,1.65,0,n/a,United States,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/flmnw
FE,FirstEnergy Corp.,36.38,17681462134,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/fe
FELP,Foresight Energy LP,3.9,567646212.9,n/a,United States,2014,Energy,Coal Mining,https://www.nasdaq.com/symbol/felp
FWRD,Forward Air Corporation,68.72,2016831600,n/a,United States,n/a,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/fwrd
FTSI,"FTS International, Inc.",12.02,1313480259,n/a,United States,2018,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ftsi
GEL,"Genesis Energy, L.P.",23.77,2913708012,n/a,United States,1996,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/gel
GNE,Genie Energy Ltd.,5.37,142040323.4,n/a,United States,2011,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/gne
GPJA,Georgia Power Company,23.61,0,n/a,United States,2017,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/gpja
GLP,Global Partners LP,18.1,615319690.3,n/a,United States,2005,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/glp
GDP,Goodrich Petroleum Corporation,13.97,165382252.4,n/a,United States,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gdp
GTE,Gran Tierra Energy Inc.,3.69,1439164641,n/a,Canada,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gte
GPOR,Gulfport Energy Corporation,11.14,1930584893,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gpor
HK,Halcon Resources Corporation,4.57,734192678.2,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/hk
HNRG,Hallador Energy Company,6.02,181665479.8,n/a,United States,n/a,Energy,Coal Mining,https://www.nasdaq.com/symbol/hnrg
HAL,Halliburton Company,41.36,36392482471,n/a,United States,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/hal
HE,"Hawaiian Electric Industries, Inc.",34.98,3808595990,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/he
HLX,"Helix Energy Solutions Group, Inc.",9.61,1423369755,n/a,United States,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/hlx
HP,"Helmerich & Payne, Inc.",68.68,7482257025,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/hp
HES,Hess Corporation,71.64,21469662576,n/a,United States,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/hes
HESM,Hess Midstream Partners LP,22.54,1230158480,n/a,United States,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/hesm
HEP,"Holly Energy Partners, L.P.",31.21,3290788673,n/a,United States,2004,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/hep
